muxr wave review — 2026-09-18 — full product walk + post-review proof
Lab: isolated — repo-built relay (dev fixture + selfhost), fake fleet fixture (7 workspaces,
agents of four kinds in every lifecycle status), Android emulator dev client on the same Metro bundle.
Browser = local browser-automation CLI @ 390x844@2x dark. Every line: FILE | Surface | what it shows.
Files live next to this INDEX. Post-review proof lanes (Lavish, Spaces rail, inline image,
naming, mock) were captured on separate isolated labs and are marked PROOF.

ACTIONS-01-pane-actions.png | Browser | Session pane-actions sheet: Inspect, Browser, Conversation history, Usage, Focus in Herdr, Stop agent.
ANDROID-01-first-run.png | Android | First run: muxr wordmark, 'disconnected', Create account + Link or restore account (web's 'Login with mobile app' is web-only).
ANDROID-02-pair-screen.png | Android | /pair: 'Securely pair this device — enter the short pairing string shown by muxr pair', manual-entry field with placeholder 'wss://your-relay?pair=7KDM4-QXP7N', helper for computers you are not standing at.
ANDROID-03-pair-consent.png | Android | Pairing consent after the string: 'this machine wants to pair with this phone' — what the phone will be able to do (type into terminals, answer approval prompts) + HOW IT IS SECURED (one-time code claim, sealed key grant, machine-key verification). Pair/Cancel.
ANDROID-04-background-prompt.png | Android | Post-pair: Android background-connection prompt 'Keep muxr connected in the background?'
ANDROID-05-home-live.png | Android | Paired Home: 'App and host versions differ · review updates' banner (CLI/host build vs app build in this lab), Right-now vitals, Live row 'ready.', Needs-you rows.
ANDROID-06-home-spaces.png | Android | Home scrolled: Spaces grouping — task children behind parents, Ready · unseen tier.
ANDROID-07-home-bottom.png | Android | Home bottom: remaining Spaces rows.
BROWSER-01-not-opened.png | Browser | Agent's Browser takeover, initial state: the agent 'hasn't opened a browser.' with primary 'Open one' and a Details disclosure.
BROWSER-02-open-attempt.png | Browser | After tapping Open one the screen holds the same state in the lab (the open attempt runs agent-browser on the machine; the lab fixture answers a JSON error).
BROWSER-03-details-expanded.png | Browser | Details expanded: selectable mono output — the failed machine-side command with its JSON error body; the designed failure disclosure with real output.
BROWSER-04-native-takeover.png | Android | Native Browser takeover: not-opened state + Open one + Details.
BROWSER-05-native-openone.png | Android | Open one tapped on the lab machine: state unchanged (fixture-answered JSON error, shown under Details).
BROWSER-06-native-after-open.png | Android | Same settled state after the open attempt — honest failed-open journey natively.
BROWSER-07-native-details.png | Android | Details disclosure expanded: mono failure output from the machine-side command (fixture-answered JSON error), selectable in a card.
